"類型 Class","觀 光 遊 憩 區 Scenic Spots","縣 市 別Location","1月Jan.","2月Feb.","3月Mar.","4月Apr.","5月May","6月Jun.","7月Jul.","8月Aug.","9月Sep.","10月Oct.","11月Nov.","12月Dec.","合計Total",,,,,,,,
National Scenic Areas,"草嶺古道系統(含遠望坑親水公園)
Caoling Historic Trail System (including Yuanwangkeng Riverside Park)",新北市 New Taipei City                        宜蘭縣 Yilan County,"12,127 ","17,008 ",12565 ,"20,157 ",24395 ,"26,685 ",28378 ,"20,577 ",22770 ,"31,236 ",114591 ,"23,492 ","353,981 ",,,,,,,,
,"大里遊客服務中心
Dali Visitor Center",宜蘭縣 Yilan County,"29,091 ","42,602 ",19143 ,"26,275 ",9334 ,"7,302 ",1436 ,"1,925 ",13943 ,"23,014 ",44864 ,"30,098 ","249,027 ",,,,,,,,
,"龜山島海域遊憩區
Turtle Island Coast Recreation Area",宜蘭縣 Yilan County,0 ,0 ,3618 ,"9,666 ",18325 ,"23,359 ",39579 ,"18,468 ",9462 ,"5,963 ",2329 ,0 ,"130,769 ",,,,,,,,
,"石城服務區
Shihcheng Service Area",宜蘭縣 Yilan County,"3,554 ","4,312 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,866 ",,,,,,,,
,"北關海潮公園
Beiguan Tidal Park",宜蘭縣 Yilan County,"16,025 ","14,599 ",13359 ,"13,799 ",15233 ,"16,225 ",25687 ,"18,987 ",15945 ,"14,665 ",13698 ,"15,459 ","193,681 ",,,,,,,,
,"外澳濱海遊憩區
Waiao Ocean Recreational Area",宜蘭縣 Yilan County,"12,531 ","30,772 ",8031 ,"13,329 ",19888 ,"24,898 ",53012 ,"30,566 ",24949 ,"25,445 ",12989 ,"11,755 ","268,165 ",,,,,,,,
,"南方澳遊客中心
Nanfangao Visitor Center",宜蘭縣 Yilan County,"21,526 ","27,761 ",16008 ,"16,172 ",16281 ,"23,199 ",24932 ,"19,034 ",18805 ,"28,890 ",20640 ,"21,698 ","254,946 ",,,,,,,,
,"東部海岸國家風景區
East Coast National Scenic Area ",,,,,,,,,,,,,,,,,,,,,,
,"秀姑巒溪泛舟
Siouguluan River",花蓮縣 Hualien County,"23,338 ","20,628 ",22421 ,"22,461 ",25745 ,"29,345 ",43846 ,"32,637 ",15036 ,"18,112 ",14960 ,"17,073 ","285,602 ",,,,,,,,
,"石梯坪
Shihtiping",花蓮縣 Hualien County,"42,817 ","135,557 ",129744 ,"157,176 ",86206 ,"119,463 ",114034 ,"173,733 ",164826 ,"134,561 ",180777 ,"180,354 ","1,619,248 ",,,,,,,,
,"磯崎海水浴場◎
Jici Beach",花蓮縣 Hualien County,0 ,"8,356 ",1109 ,"1,568 ",667 ,848 ,3623 ,"3,804 ",1030 ,107 ,0 ,0 ,"21,112 ",,,,,,,,
,"花蓮管理站遊客中心
Hualien Ranger Station Visitor Center",花蓮縣 Hualien County,"3,910 ","6,227 ",3651 ,"3,856 ",4585 ,"5,778 ",6081 ,"5,121 ",4224 ,"4,497 ",3979 ,"3,540 ","55,449 ",,,,,,,,
,"花蓮海洋公園◎
Hualien Ocean Park",花蓮縣 Hualien County,"16,831 ","64,915 ",24570 ,"38,110 ",27150 ,"47,930 ",85404 ,"84,076 ",36674 ,"48,210 ",35710 ,"25,586 ","535,166 ",,,,,,,,
